date,method,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,soc_start_kwh,soc_end_kwh
2025-07-09,m1,50549.35542946667,11629.914400166668,62179.26982963334,3623.047833333333,1199.9999999999957,1199.9999999999898
2025-07-10,m1,48995.7407689402,14167.970551816667,63163.71132075687,3522.675666666667,1199.9999999999898,1199.9999999999923
2025-07-11,m1,48661.12510612555,191.3652533333333,48852.49035945888,89.50666666666666,1199.9999999999923,1199.9999999999936
2025-07-12,m1,24190.015310378396,9926.951927683336,34116.967238061734,2550.580250000001,1199.9999999999936,1199.9999999999982
2025-07-13,m1,24524.96980143463,143079.375751725,167604.34555315963,33282.776516666665,1199.9999999999982,1199.9999999999955
2025-07-14,m1,46663.18186337926,19264.097712833332,65927.27957621259,5172.327799999999,1199.9999999999955,1199.999999999996
2025-07-15,m1,47799.40054592709,14737.718688758334,62537.11923468542,4482.239333333334,1199.999999999996,1199.9999999999955
2025-07-16,m1,48078.47806170851,13274.723385591667,61353.20144730018,3618.4662,1199.9999999999955,1199.9999999999986
2025-07-17,m1,47883.75764891987,21850.151206116665,69733.90885503654,4924.70255,1199.9999999999986,1199.9999999999989
2025-07-18,m1,48603.36123618549,8.976036666666767,48612.33727285216,4.19833333333338,1199.9999999999989,1200.000000000002
2025-07-19,m1,23430.180392927407,8208.242436033333,31638.42282896074,2170.8934333333327,1200.000000000002,1200.000000000001
2025-07-20,m1,24094.19453954185,149938.87610949166,174033.0706490335,35864.66251666666,1200.000000000001,1200.0
2025-07-21,m1,47588.96165111042,17367.13348888333,64956.09513999375,4530.028799999999,1200.0,1199.9999999999973
2025-07-22,m1,49025.00665915648,16509.562075175,65534.56873433148,4187.5407,1199.9999999999973,1199.9999999999936
2025-07-23,m1,48769.45360062028,16752.876597824998,65522.330198445285,4244.742466666665,1199.9999999999936,1199.999999999994
2025-07-24,m1,49381.9818739194,13713.602616,63095.584489919405,3802.2053499999997,1199.999999999994,1199.9999999999902
2025-07-25,m1,48881.13565135466,64.15425333333332,48945.289904688,30.00666666666666,1199.9999999999902,1199.9999999999966
2025-07-26,m1,23134.342511054994,12049.828698508338,35184.171209563334,3441.7066833333356,1199.9999999999966,1199.999999999998
2025-07-27,m1,23453.24618791191,162244.41483084165,185697.66101875357,38078.06376666666,1199.999999999998,1199.9999999999998
2025-07-28,m1,48782.09385083254,22408.00740459166,71190.1012554242,6403.246016666666,1199.9999999999998,1199.9999999999911
2025-07-29,m1,51362.50824002553,10178.509139774997,61541.01737980053,2759.0010666666662,1199.9999999999911,1199.9999999999961
2025-07-30,m1,49937.364527056954,13541.997764908334,63479.362291965284,3425.3370833333333,1199.9999999999961,1199.9999999999939
2025-07-31,m1,49027.217443782225,16997.30269851666,66024.52014229889,4045.1231666666654,1199.9999999999939,1199.9999999999975
2025-08-01,m1,49551.35580692049,0.0,49551.35580692049,0.0,1199.9999999999975,1199.9999999999968
2025-08-02,m1,22684.632986111115,8665.439478200002,31350.072464311117,2260.281266666667,1199.9999999999968,1200.0000000000002
2025-08-03,m1,22572.85737165092,133026.67326639168,155599.5306380426,32476.47796666667,1200.0000000000002,1200.0
2025-08-04,m1,42900.075223057225,17815.603967633324,60715.67919069055,4471.320716666665,1200.0,1200.0000000000064
2025-08-05,m1,44032.346717512715,11773.351062383332,55805.69777989604,2960.2220666666663,1200.0000000000064,1199.9999999999982
2025-08-06,m1,43572.6925227258,23574.204531566662,67146.89705429247,5725.152766666666,1199.9999999999982,1199.9999999999986
2025-08-07,m1,45711.95642203184,8885.888307400004,54597.84472943185,2370.5664166666675,1199.9999999999986,1199.9999999999964
2025-08-08,m1,43024.02617390426,0.0,43024.02617390426,0.0,1199.9999999999964,1200.0000000000011
2025-08-09,m1,22194.633834466782,9159.69514260833,31354.328977075114,2714.692249999999,1200.0000000000011,1199.9999999999989
2025-08-10,m1,22408.174590458453,141448.02660390837,163856.20119436682,33684.019166666665,1199.9999999999989,1200.0000000000023
2025-08-11,m1,43889.154884291565,13026.695554983331,56915.850439274895,3313.474916666666,1200.0000000000023,1199.9999999999945
2025-08-12,m1,43592.10599774278,23885.16001961667,67477.26601735945,5838.540400000002,1199.9999999999945,1199.9999999999993
2025-08-13,m1,45570.060755404316,10233.91344218333,55803.974197587646,2761.673766666666,1199.9999999999993,1199.9999999999989
2025-08-14,m1,44058.1096879026,16800.633385583333,60858.74307348594,3939.6287999999995,1199.9999999999989,1199.9999999999936
2025-08-15,m1,44562.81873514339,43.62588999999994,44606.44462514339,20.404999999999973,1199.9999999999936,1199.9999999999968
2025-08-16,m1,22433.845280904134,8429.480632483333,30863.325913387467,2066.193933333333,1199.9999999999968,1199.999999999999
2025-08-17,m1,22510.5128395058,135746.5689691833,158257.0818086891,32665.76658333333,1199.999999999999,1199.9999999999998
2025-08-18,m1,43102.57815508444,19228.700159783333,62331.27831486777,4291.54505,1199.9999999999998,1200.000000000001
2025-08-19,m1,43682.229097478266,12043.653001825003,55725.88209930327,3620.540600000001,1200.000000000001,1199.9999999999986
2025-08-20,m1,43574.45045347401,34179.220306566654,77753.67076004067,8173.587249999999,1199.9999999999986,1200.0000000000034
2025-08-21,m1,46925.954617772455,6742.482821508332,53668.43743928079,1823.907533333333,1200.0000000000034,1199.9999999999957
2025-08-22,m1,44105.348091708416,0.0,44105.348091708416,0.0,1199.9999999999957,1200.0000000000007
2025-08-23,m1,23368.566154060427,8298.158738033331,31666.724892093756,2341.693916666666,1200.0000000000007,1200.0000000000011
2025-08-24,m1,22798.868154015057,138425.41248600834,161224.2806400234,33089.55628333333,1200.0000000000011,1199.9999999999998
2025-08-25,m1,43918.26491085649,30973.829914624992,74892.09482548147,8482.563849999999,1199.9999999999998,1200.0000000000016
2025-08-26,m1,47266.96559921505,5763.203694208335,53030.16929342339,1427.0195166666667,1200.0000000000016,1199.9999999999989
2025-08-27,m1,44416.26876476132,17409.462456666668,61825.73122142799,4412.9376999999995,1199.9999999999989,1200.0000000000007
2025-08-28,m1,45902.47560252851,22180.799958866664,68083.27556139517,6093.096283333333,1200.0000000000007,1199.9999999999925
2025-08-29,m1,47018.81271236839,48.92456666666665,47067.73727903506,22.883333333333326,1199.9999999999925,1199.9999999999939
2025-08-30,m1,23224.697840641973,7948.061419266669,31172.759259908642,2263.616966666667,1199.9999999999939,1199.9999999999995
2025-08-31,m1,23200.74715155833,135963.34876293334,159164.09591449169,33497.06593333333,1199.9999999999995,1200.0
2025-09-01,m1,45062.15062551906,1735.1942949416675,46797.34492046073,484.23475000000036,1200.0,1199.9999999999995
2025-09-02,m1,35519.0009204987,17594.77953289167,53113.78045339037,3920.141600000001,1199.9999999999995,1199.9999999999986
2025-09-03,m1,35937.662875598544,16095.787293241669,52033.45016884021,4382.372966666667,1199.9999999999986,1200.0000000000018
2025-09-04,m1,37163.367800153836,12066.089395249994,49229.457195403826,2753.4366499999987,1200.0000000000018,1200.000000000007
2025-09-05,m1,36711.617771239005,0.0,36711.617771239005,0.0,1200.000000000007,1200.0000000000039
2025-09-06,m1,16249.634036792035,8543.094328216665,24792.728365008697,2179.6303999999996,1200.0000000000039,1199.999999999999
2025-09-07,m1,16405.268817382035,126501.05963426665,142906.3284516487,31386.673,1199.999999999999,1200.0000000000023
2025-09-08,m1,36350.25832960829,24316.254794624998,60666.51312423329,5947.535383333333,1200.0000000000023,1199.999999999999
